ags,57053549,-150,84,9584,62,-43,150
ags,57053550,-211,96,9628,63,-26,132
ags,57053551,-228,101,9616,58,-36,104
ags,57053552,-211,117,9680,72,-41,101
ags,57053553,-228,87,9645,66,-41,116
ags,57053554,-179,94,9658,57,-30,127
ags,57053555,-145,87,9670,61,-24,131
ags,57053556,-135,94,9645,60,-30,125
ags,57053557,-179,82,9648,47,-14,114
ags,57053558,-147,35,9704,58,-10,110
ags,57053559,-164,35,9687,79,-18,121
ags,57053560,-157,62,9614,85,-17,140
ags,57053561,-142,72,9543,76,-33,133
ags,57053562,-137,40,9570,64,-33,124
ags,57053563,-155,99,9587,59,-13,120
ags,57053564,-152,77,9589,43,-10,137
ags,57053565,-208,1,9667,40,-7,126
ags,57053566,-228,99,9660,59,-13,120
ags,57053567,-118,87,9623,64,-22,114
ags,57053568,-111,72,9599,66,-23,137
ags,57053569,-191,69,9655,60,-25,138
ags,57053570,-164,79,9675,77,-39,141
ags,57053571,-159,52,9655,90,-50,143
ags,57053572,-106,-1,9536,81,-28,125
ags,57053573,-155,40,9616,63,-14,117
ags,57053574,-128,69,9638,50,-11,118
ags,57053575,-91,57,9531,59,-33,124
ags,57053576,-159,129,9592,59,-31,108
ags,57053577,-194,94,9631,50,-22,123
ags,57053578,-130,99,9619,65,-31,121
ags,57053579,-123,89,9643,66,-34,113
ags,57053580,-238,79,9753,57,-15,95
ags,57053581,-181,25,9765,53,-8,125
ags,57053582,-211,89,9675,56,-22,146
ags,57053583,-196,91,9638,47,-44,143
ags,57053584,-189,60,9582,49,-30,140
ags,57053585,-176,108,9623,46,-29,110
ags,57053586,-191,50,9655,60,-23,119
ags,57053587,-174,33,9621,77,-27,135
ags,57053588,-172,62,9582,88,-31,137
ags,57053589,-225,74,9609,64,-16,111
ags,57053590,-218,72,9684,57,-14,98
ags,57053591,-142,69,9643,55,-13,130
ags,57053592,-162,1,9614,64,-40,132
ags,57053593,-130,13,9579,73,-49,117
ags,57053594,-123,52,9672,69,-44,117
ags,57053595,-159,91,9658,74,-40,126
ags,57053596,-142,108,9687,73,-31,126
